trip_id,start_time,end_time,headway_secs
"245","13:36:00","13:46:00","600"
"245","13:46:00","13:55:00","540"
"245","13:55:00","14:05:00","600"
"245","14:05:00","14:14:00","540"
"245","14:14:00","14:24:00","600"
"245","14:24:00","14:33:00","540"
"245","14:33:00","14:43:00","600"
"245","14:43:00","14:52:00","540"
"245","14:52:00","15:02:00","600"
"245","15:02:00","15:11:00","540"
"245","15:11:00","15:21:00","600"
"245","15:21:00","15:30:00","540"
"245","15:30:00","15:40:00","600"
"245","15:40:00","15:49:00","540"
"245","15:49:00","15:59:00","600"
"245","15:59:00","16:08:00","540"
"245","16:08:00","16:18:00","600"
"245","16:18:00","16:27:00","540"
"245","16:27:00","16:37:00","600"
"245","16:37:00","16:46:00","540"
"245","16:46:00","16:56:00","600"
"245","16:56:00","17:05:00","540"
"245","17:05:00","17:15:00","600"
"245","17:15:00","17:24:00","540"
"245","17:24:00","17:34:00","600"
"245","17:34:00","17:43:00","540"
"245","17:43:00","17:53:00","600"
"245","17:53:00","18:02:00","540"
"245","18:02:00","18:12:00","600"
"245","18:12:00","18:21:00","540"
"245","18:21:00","18:31:00","600"
"245","18:31:00","18:40:00","540"
"245","18:40:00","18:50:00","600"
"245","18:50:00","18:59:00","540"
"245","18:59:00","19:09:00","600"
"245","19:09:00","19:18:00","540"
"245","19:18:00","19:28:00","600"
"245","19:28:00","19:37:00","540"
"245","19:37:00","19:47:00","600"
"245","19:47:00","19:56:00","540"
"245","19:56:00","20:06:00","600"
"245","20:06:00","20:15:00","540"
"245","20:15:00","20:25:00","600"
"245","20:25:00","20:34:00","540"
"245","20:34:00","20:44:00","600"
"245","20:44:00","20:53:00","540"
"245","20:53:00","21:03:00","600"
"245","21:03:00","21:12:00","540"
"245","21:12:00","21:22:00","600"
"245","21:22:00","21:31:00","540"
"245","21:31:00","21:41:00","600"
"245","21:41:00","21:50:00","540"
"245","21:50:00","22:00:00","600"
"245","22:00:00","22:09:00","540"
"245","22:09:00","22:19:00","600"
"245","22:19:00","22:28:00","540"
"245","22:28:00","22:38:00","600"
"245","22:38:00","22:47:00","540"
"245","22:47:00","22:57:00","600"
"245","22:57:00","23:06:00","540"
"245","23:06:00","23:16:00","600"
"245","23:16:00","23:25:00","540"
"245","23:25:00","23:35:00","600"
"245","23:35:00","23:44:00","540"
"245","23:44:00","23:54:00","600"
"257","05:30:00","07:00:00","300"
"257","07:00:00","08:45:00","420"
"257","08:45:00","08:51:00","360"
"257","08:51:00","08:58:00","420"
"257","08:58:00","09:00:00","120"
"257","09:00:00","09:07:00","420"
"257","09:07:00","09:13:00","360"
"257","09:13:00","09:27:00","420"
"257","09:27:00","09:33:00","360"
"257","09:33:00","09:47:00","420"
"257","09:47:00","09:53:00","360"
"257","09:53:00","10:07:00","420"
"257","10:07:00","10:13:00","360"
"257","10:13:00","10:27:00","420"
"257","10:27:00","10:33:00","360"
"257","10:33:00","10:47:00","420"
"257","10:47:00","10:53:00","360"
"257","10:53:00","11:07:00","420"
"257","11:07:00","11:13:00","360"
"257","11:13:00","11:27:00","420"
"257","11:27:00","11:33:00","360"
"257","11:33:00","11:47:00","420"
